Name,Customer_Segment,Customer_ID,Address,City,State,ZIP,Store_Number,Avg_Num_Products_Purchased,#_Years_as_Customer,Score_No,Score_Yes,Predicted amount
Amanda Donahoe,Credit Card Only,1946,10093 E Warren Ave,Denver,CO,80247,105,7,0.7,0.732721707,0.267278293,206.4243712
Angie Reffel,Credit Card Only,369,4502 S Buckley Way,Aurora,CO,80015,104,6,0.2,0.806552851,0.193447149,136.4460121
Anh Tran,Credit Card Only,1683,7328 E Maple Ave,Denver,CO,80230,100,6,0,0.749342386,0.250657614,176.7988415
Barbara Archuleta,Credit Card Only,2072,9421 W 93rd Ave,Broomfield,CO,80021,103,5,0.6,0.722037905,0.277962095,177.439883
Barbara Vogel,Credit Card Only,2004,9457 W Hamilton Dr,Lakewood,CO,80227,101,7,0.9,0.730290448,0.269709552,208.3020812
Bria Cunningham,Credit Card Only,259,142 Kenton St,Aurora,CO,80010,105,3,0.8,0.808283725,0.191716275,96.70168911
Chris Lane,Credit Card Only,2957,5674 S Huron St,Littleton,CO,80120,101,5,0.4,0.386927306,0.613072694,391.3610849
Clara Mcgihon,Credit Card Only,1609,5910 S Gilpin Ct,Centennial,CO,80121,105,7,0.1,0.756222207,0.243777793,188.2744651
Clarissa Kenedy,Credit Card Only,2580,3713 S Espana Way,Aurora,CO,80013,104,6,0.6,0.590141301,0.409858699,289.0897348
Connie Boccaccio,Credit Card Only,2409,23763 E Eads Dr,Aurora,CO,80016,102,7,0.5,0.645510208,0.354489792,273.7795562
Cynthia Noekstra,Credit Card Only,1216,5050 Quitman St,Denver,CO,80212,107,5,0.1,0.775847195,0.224152805,143.0901846
Deborah Rothwell,Credit Card Only,2133,7431 Dexter St,Commerce City,CO,80022,107,6,0.7,0.715720613,0.284279387,200.5136228
Deborah Sagraves,Credit Card Only,719,18175 E Cornell Pl,Aurora,CO,80013,104,5,0.5,0.797587513,0.202412487,129.2120352
Devorah Tennyson,Credit Card Only,1767,11823 E Canal Dr,Aurora,CO,80011,105,3,0.1,0.744682865,0.255317135,128.7819629
